,id,identifier,formula,temperature,efermi,e_per_atom,ele_cell,med_mass,var_mass,med_raio,var_raio,med_ele,var_ele,med_val,var_val,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,p1,p2,p3,p4,p5,p6,p7,e_l1,e_l2,e_l3,e_l4,e_l5,e_l6,e_l7,tetragonal,trigonal,orthorhombic,cubic,monoclinic,triclinic,hexagonal,⟨S²σ⟩,κₑᵉ
162,5e5dbf0e5a4b4bd4eb1ed6a1,mp-8202,CsRb2PdF5,300,-1.2170316,-2.5223824030940616,18,85.947913775,1776.6460441584113,1.7125,0.6904687500000001,1.9475,1.7014687499999996,0.5,0.75,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,8,31,54,44,9,1,0,1,0,0,0,0,0,0,0.100518,0.244103
166,5e5dbf0e5a4b4bd4eb1ed6a5,mp-697135,H2S,300,-2.30723085,-0.4227270308508337,24,16.536469999999998,241.13524396089997,0.625,0.140625,2.39,0.03609999999999998,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,3,8,6,0,0,0,0,1,0,0,0,0,0,0,8.59051,943.419
169,5e5dbf0f5a4b4bd4eb1ed6a8,mp-28921,Tl5Se2Br,300,3.77141713,-0.49721714402343764,16,121.08243333333333,3469.6657163755553,1.3999999999999997,0.125,2.3766666666666665,0.3142888888888888,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,6,24,54,45,18,3,0,1,0,0,0,0,0,0,12.4056,1585.73
170,5e5dbf0f5a4b4bd4eb1ed6a9,mp-770936,Ba2Sc2O5,300,1.860335,-3.517999441805555,36,66.094104,2676.8093341410986,1.45,0.4116666666666666,1.8966666666666667,1.2277555555555557,0.6666666666666666,0.888888888888889,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,6,22,27,20,8,2,0,0,0,1,0,0,0,0,8.46447,721.174
172,5e5dbf0f5a4b4bd4eb1ed6ab,mp-17891,NaYSiO4,300,1.4986167,-3.3720447338571424,28,38.99512982,848.7687919163797,1.325,0.256875,1.8724999999999998,0.9429687499999999,1.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,8,30,23,9,2,0,0,0,0,1,0,0,0,0,8.78491,1124.77
175,5e5dbf0f5a4b4bd4eb1ed6ae,mp-707483,TiP2H4O9,300,0.01953983,-2.3879513422926486,64,23.962025499999996,302.72642514641075,0.8125,0.18546874999999996,2.3425000000000002,0.47301875,0.75,0.6875,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,7,22,15,2,0,0,0,0,0,0,0,1,0,0,2.98594,109.79
177,5e5dbf105a4b4bd4eb1ed6b0,mp-23295,RbCl,300,-2.05782746,-2.217215931802414,2,60.4604,625.3700547599999,1.675,0.45562500000000006,1.99,1.3689,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,4,16,25,8,1,0,0,0,0,0,1,0,0,0,9.48203,1196.57
179,5e5dbf105a4b4bd4eb1ed6b2,mp-28364,Rb2CdO2,300,0.52539577,-1.3615528286379313,20,71.29273333333333,1649.665693262222,1.5,0.5116666666666667,1.9833333333333334,1.1870888888888889,0.6666666666666666,0.888888888888889,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,6,22,36,26,3,0,0,0,0,1,0,0,0,0,9.6396,1606.68
182,5e5dbf105a4b4bd4eb1ed6b5,mp-3297,Li10Zn4O9,300,0.36291348,-2.0028418012499998,46,29.4498,660.207800746667,1.1333333333333333,0.1438888888888889,2.0233333333333334,1.078288888888889,0.6666666666666666,0.888888888888889,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,6,15,18,2,0,0,0,1,0,0,0,0,0,0,8.60772,1182.83
185,5e5dbf115a4b4bd4eb1ed6b8,mp-569989,Nb2C,300,5.4749339,-0.4598270645833331,12,52.45854,1636.0277606656,1.075,0.140625,2.075,0.22562499999999985,1.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,4,12,18,12,1,0,0,0,0,1,0,0,0,0,111.101,184127000.0
186,5e5dbf115a4b4bd4eb1ed6b9,mp-768154,Na3MgPCO7,300,1.30329288,-2.547594168126374,26,21.255726255999996,43.96893409604737,1.1199999999999999,0.2136,2.084,0.7995839999999999,0.8,0.9600000000000002,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,10,34,8,0,0,0,0,0,0,0,0,1,0,0,8.4142,923.282
192,5e5dbf115a4b4bd4eb1ed6bf,mp-776120,Mn3Cr2Cu(PO4)6,300,2.19498151,-2.327792019881588,36,43.4906614,303.6087814754838,1.15,0.098,2.148,0.46565599999999996,1.2,0.9600000000000002,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,10,38,49,4,0,0,0,0,1,0,0,0,0,0,32.7521,18726500.0
193,5e5dbf125a4b4bd4eb1ed6c0,mp-754912,LiCuO2,300,2.67932743,-1.3475513743749996,4,28.8288,616.3177563466667,1.1333333333333333,0.1438888888888889,2.106666666666667,1.0299555555555555,0.6666666666666666,0.888888888888889,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,6,15,18,1,0,0,0,0,1,0,0,0,0,0,26.4737,36319400.0
194,5e5dbf125a4b4bd4eb1ed6c1,mp-779587,TiPO4,300,4.69720522,-2.974143338412698,36,31.613387333333332,169.46188191018754,1.0,0.10666666666666665,2.39,0.6216666666666666,1.3333333333333333,0.888888888888889,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,6,22,15,2,0,0,0,0,1,0,0,0,0,0,2.61202,25819500.0
196,5e5dbf125a4b4bd4eb1ed6c3,mp-776387,Ti2N2O,300,4.39802859,-2.1281002863686664,20,25.9577,240.67052212666667,0.8833333333333333,0.13388888888888886,2.6733333333333333,0.6688888888888888,0.6666666666666666,0.888888888888889,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,6,19,10,2,0,0,0,0,0,0,0,1,0,0,7.84306,743.163
200,5e5dbf125a4b4bd4eb1ed6c7,mp-29928,Na3Li3N2,300,0.83440645,-0.10275121728250003,8,14.645823093333334,43.13140506466129,1.3,0.2316666666666667,1.6500000000000001,0.9664666666666667,1.3333333333333333,0.888888888888889,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,6,14,1,0,0,0,0,0,0,0,0,1,0,0,1.90213,10158300.0
201,5e5dbf135a4b4bd4eb1ed6c8,mp-557802,K2Be(Si2O5)2,300,0.76281438,-3.121220292558823,68,23.0488455,132.41887059241077,1.2375000000000003,0.3467187500000001,1.9325,0.91066875,1.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,8,24,12,1,0,0,0,0,0,0,0,1,0,0,8.80025,1170.78
202,5e5dbf135a4b4bd4eb1ed6c9,mp-542846,AsS,300,1.19062909,-0.4676677707812509,16,53.4933,459.17204089,1.075,0.005624999999999994,2.38,0.03999999999999998,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,4,16,24,5,0,0,0,0,0,0,0,1,0,0,7.0455,354.504
205,5e5dbf135a4b4bd4eb1ed6cc,mp-9580,TlGaSe2,300,2.68038059,-0.5647016417968755,8,117.68876666666667,3772.191416442222,1.45,0.10499999999999998,1.9933333333333334,0.1609555555555555,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,6,24,54,41,18,3,0,1,0,0,0,0,0,0,10.4729,1536.81
206,5e5dbf135a4b4bd4eb1ed6cd,mp-558981,SrBe2(BO3)2,300,1.29534513,-3.134874878030304,44,30.8606455,1080.4561457636107,1.125,0.280625,2.0,0.8406499999999999,0.5,0.75,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,8,19,18,8,2,0,0,0,0,0,0,1,0,0,8.99226,1048.46
211,5e5dbf145a4b4bd4eb1ed6d2,mp-772876,BaSr2I6,300,0.1578121,-1.725689476388889,36,117.28382333333333,458.07606264242213,1.8499999999999999,0.105,1.5,0.6734000000000001,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,6,24,54,44,17,2,0,0,0,1,0,0,0,0,9.1233,1099.01
213,5e5dbf145a4b4bd4eb1ed6d4,mp-24308,AlSiH9C3Cl2O,300,-2.46481438,-0.8905230305352949,68,19.923013100000002,132.23481607837672,0.8166666666666668,0.11388888888888889,2.4766666666666666,0.4267555555555555,0.5,0.5833333333333334,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,11,34,14,0,0,0,0,0,0,0,0,1,0,0,8.95339,750.417
214,5e5dbf145a4b4bd4eb1ed6d5,mp-975050,Rb3Co,300,0.93492427,0.9148177047413795,4,72.2004975,176.02131562650624,1.85,0.25,1.3499999999999999,0.2809,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,16,33,10,1,0,0,0,0,0,1,0,0,0,22.6377,58462700.0
215,5e5dbf145a4b4bd4eb1ed6d6,mp-653429,Mn7FeCl3O10,300,1.85759531,-1.9362047323333325,42,40.55886125,267.41597979875473,1.1,0.10999999999999999,2.495,0.667625,1.0,1.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,8,30,34,4,0,0,0,0,0,0,1,0,0,0,5.43308,606.401
218,5e5dbf155a4b4bd4eb1ed6d9,mp-773194,Li4Mn5V3O16,300,3.18517235,-2.252866322671429,28,32.20498625,442.1847336453172,1.2000000000000002,0.12125,1.9000000000000001,0.8533499999999999,1.0,1.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,8,23,24,4,0,0,0,0,0,0,0,0,1,0,2.09902,121.196
219,5e5dbf155a4b4bd4eb1ed6da,mp-753081,Li3(CuO)4,300,1.75139494,-1.3085346068181816,11,28.8288,616.3177563466667,1.1333333333333333,0.1438888888888889,2.106666666666667,1.0299555555555555,0.6666666666666666,0.888888888888889,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,6,15,18,1,0,0,0,0,0,1,0,0,0,0,35.6263,69358900.0
221,5e5dbf155a4b4bd4eb1ed6dc,mp-9383,SrHfN2,300,4.52010341,-1.57242014869,4,93.37223333333334,4525.670090642223,1.4000000000000001,0.315,1.7633333333333334,0.8353555555555556,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,6,21,36,40,12,2,0,0,1,0,0,0,0,0,21.4565,1824.07
222,5e5dbf155a4b4bd4eb1ed6dd,mp-16988,SrCu2SnS4,300,4.59050237,-1.1109098447395833,24,75.48525,1010.8737426874999,1.4500000000000002,0.12875,1.8475,0.33936875000000005,1.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,8,32,60,27,6,0,0,0,1,0,0,0,0,0,10.2427,4490.88
225,5e5dbf155a4b4bd4eb1ed6e0,mp-757206,BaTi6O12,300,5.22197086,-3.493722406842105,38,67.06446666666666,2637.6691168355555,1.3833333333333335,0.40055555555555555,1.9566666666666668,1.1705555555555553,0.6666666666666666,0.888888888888889,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,6,22,28,20,8,2,0,1,0,0,0,0,0,0,1.53963,31174200.0
226,5e5dbf165a4b4bd4eb1ed6e1,mp-672225,BaZn13,300,3.01019421,-0.16154099178571432,28,101.368,1293.0496809999997,1.75,0.15999999999999992,1.27,0.14439999999999997,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,4,16,36,20,8,2,0,0,0,0,1,0,0,0,23.2483,638627000.0
230,5e5dbf165a4b4bd4eb1ed6e5,mp-12383,Sc2Te3,300,3.63935194,-1.2276108569999997,20,86.27795599999999,1707.511320337936,1.5,0.010000000000000018,1.73,0.1369,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,4,16,27,20,6,0,0,0,0,1,0,0,0,0,9.48287,53791600.0
231,5e5dbf165a4b4bd4eb1ed6e6,mp-19879,PPd3,300,6.33456952,-0.4814621630357143,16,68.696881,1423.033707088161,1.2,0.03999999999999998,2.1950000000000003,2.5000000000001157e-05,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,4,16,23,18,0,0,0,0,0,1,0,0,0,0,9.96439,584607000.0
232,5e5dbf165a4b4bd4eb1ed6e7,mp-19113,CoTeO3,300,5.2860883,-1.442117479250001,20,67.510865,2112.5705313744497,1.1166666666666667,0.1338888888888889,2.473333333333333,0.47528888888888887,0.6666666666666666,0.888888888888889,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,6,22,33,20,6,0,0,0,0,1,0,0,0,0,4.93257,481.79
233,5e5dbf165a4b4bd4eb1ed6e8,mp-977176,NaTcO3,300,4.2837021,-1.9986810641500008,5,45.663056426666664,1377.7220417442666,1.25,0.24500000000000002,2.09,1.0680666666666665,1.3333333333333333,0.888888888888889,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,6,22,19,13,2,0,0,0,0,0,1,0,0,0,0.898188,1420020000.0
234,5e5dbf175a4b4bd4eb1ed6e9,mp-560280,TeC6(ClF7)2,300,-1.15210321,-1.6125999856817388,46,48.51552579999999,2157.211618259477,0.8999999999999999,0.11499999999999998,2.9475,0.49686874999999997,0.5,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,8,27,25,18,6,0,0,0,0,0,0,1,0,0,0.799891,20.3491
235,5e5dbf175a4b4bd4eb1ed6ea,mp-754759,Y2O3,300,1.46304494,-3.9397761852500013,10,52.452625,1328.8376129006251,1.2,0.36000000000000004,2.33,1.2321,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,4,14,18,9,2,0,0,0,1,0,0,0,0,0,8.8353,1104.98
