,id,identifier,formula,temperature,energy,volume,⟨S²σ⟩p,⟨S²σ⟩n,κₑᵉ
169,5e5dbf0f5a4b4bd4eb1ed6a8,mp-28921,Tl5Se2Br,300,-48.84099321,521.594303127848,10451.6,12.4056,1585.73
170,5e5dbf0f5a4b4bd4eb1ed6a9,mp-770936,Ba2Sc2O5,300,-277.23332945,607.5795179195339,3830.74,8.46447,721.174
171,5e5dbf0f5a4b4bd4eb1ed6aa,mp-689927,Na3DyTi2Nb2O12,300,-317.03544578,475.52700394173667,1366.16,11.8382,619.617
172,5e5dbf0f5a4b4bd4eb1ed6ab,mp-17891,NaYSiO4,300,-214.96430697,379.79117559494466,1300.46,8.78491,1124.77
173,5e5dbf0f5a4b4bd4eb1ed6ac,mp-567517,Er5(CoTe)2,300,-100.16001535,436.5871648540745,4588.08,4.58829,179985000.0
174,5e5dbf0f5a4b4bd4eb1ed6ad,mp-767681,Li8Cr(FeO4)3,300,-138.03205034,211.31052114525002,6739.33,6.73951,25300800.0
175,5e5dbf0f5a4b4bd4eb1ed6ae,mp-707483,TiP2H4O9,300,-431.68248357,684.837132445149,2006.56,2.98594,109.79
177,5e5dbf105a4b4bd4eb1ed6b0,mp-23295,RbCl,300,-6.70481531,75.14792687944919,1067.06,9.48203,1196.57
179,5e5dbf105a4b4bd4eb1ed6b2,mp-28364,Rb2CdO2,300,-72.83357528,446.54277124260824,458.357,9.6396,1606.68
180,5e5dbf105a4b4bd4eb1ed6b3,mp-33690,PrSO,300,-84.4012986,226.71484277739046,3394.08,9.12167,450.533
181,5e5dbf105a4b4bd4eb1ed6b4,mp-978095,Pr2CdPb,300,-15.96629406,120.13422087663692,12527.3,12.5288,643664000.0
182,5e5dbf105a4b4bd4eb1ed6b5,mp-3297,Li10Zn4O9,300,-216.5482639,455.3469139450516,1417.88,8.60772,1182.83
183,5e5dbf105a4b4bd4eb1ed6b6,mp-17770,CsPr(PO3)4,300,-262.054992,598.8451219651785,241.535,8.83942,928.71
184,5e5dbf115a4b4bd4eb1ed6b7,mp-19745,GdInIr,300,-83.23273639,198.23871574103367,49057.8,49.0619,374845000.0
185,5e5dbf115a4b4bd4eb1ed6b8,mp-569989,Nb2C,300,-123.32493246,171.2296008427815,111025.0,111.101,184127000.0
186,5e5dbf115a4b4bd4eb1ed6b9,mp-768154,Na3MgPCO7,300,-165.91687598,309.582001274968,385.661,8.4142,923.282
187,5e5dbf115a4b4bd4eb1ed6ba,mp-568115,Zr5Si3,300,-131.0346911,311.51150311388795,3602.58,3.60288,350711000.0
188,5e5dbf115a4b4bd4eb1ed6bb,mp-567156,Pr(Al4Co)2,300,-216.56037063,741.2866423733137,44987.1,45.0041,245721000.0
189,5e5dbf115a4b4bd4eb1ed6bc,mp-754971,Cs3TmO3,300,-71.07734596,384.0735887796212,363.838,9.45611,1260.31
191,5e5dbf115a4b4bd4eb1ed6be,mp-558910,Li2U3(PO5)4,300,-233.83808412,425.1270774371152,1920.63,0.956572,23.1979
192,5e5dbf115a4b4bd4eb1ed6bf,mp-776120,Mn3Cr2Cu(PO4)6,300,-259.47514071,436.115162537321,32761.2,32.7521,18726500.0
